,MetroAreaID,MedianSalesPrice,Area,lat_long,centroid,distance
0,1007,389700.0,Atlanta,"(33.891702, -84.140783)","(33.748783, -84.388168)",27.85372953251022 km
1,1006,355390.0,Richmond,"(37.6162, -77.521)","(37.54129, -77.434769)",11.275803895831249 km
2,1013,240900.0,Aiken/Augusta,"(33.593076, -81.824541)","(33.5076, -81.8604)",10.04839088810054 km
3,1013,212400.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
4,1013,247900.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
5,1008,289900.0,Charleston,"(32.8984, -79.9979)","(32.776566, -79.930923)",14.895773216251829 km
6,1000,884990.0,Northern Virginia,"(38.7972531, -77.6523484)","(38.8051, -77.047)",52.59271546370725 km
7,1013,246900.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
8,1010,241900.0,Columbia,"(33.917912, -81.328175)","(34.0007, -81.0348)",28.62901156133804 km
9,1000,640990.0,Northern Virginia,"(38.4305, -77.4289)","(38.8051, -77.047)",53.2485419990901 km
10,1008,990900.0,Charleston,"(32.900786, -79.74952)","(32.776566, -79.930923)",21.86828205541061 km
11,1013,252900.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
12,1000,532090.0,Northern Virginia,"(39.054844, -77.462364)","(38.8051, -77.047)",45.45209618827713 km
13,1003,418600.0,Charlottesville,"(0.0, 0.0)","(38.033554, -78.50798)",9005.927584465539 km
14,1010,343900.0,Columbia,"(34.187516, -81.014363)","(34.0007, -81.0348)",20.808040527945 km
15,1010,349400.0,Columbia,"(33.913455, -81.290165)","(34.0007, -81.0348)",25.510494763814688 km
16,1007,350000.0,Atlanta,"(34.1, -84.582)","(33.748783, -84.388168)",42.88246359043638 km
17,1001,668490.0,Maryland,"(38.8208, -76.7835)","(52.2296756, -21.0122287)",4479.3191825925005 km
18,1008,702400.0,Charleston,"(32.342205, -80.916079)","(32.776566, -79.930923)",104.30834355178328 km
19,1003,447300.0,Charlottesville,"(37.9871831, -78.5074706)","(38.033554, -78.50798)",5.147210024907886 km
20,1010,281900.0,Columbia,"(34.122649, -80.81733)","(34.0007, -81.0348)",24.208280337222007 km
21,1010,322900.0,Columbia,"(34.144558, -80.802329)","(34.0007, -81.0348)",26.741356115236144 km
22,1004,484490.0,Raleigh,"(35.6782, -78.8709)","(35.884766, -78.625053)",31.927463117192413 km
23,1007,444900.0,Atlanta,"(34.139541, -84.249347)","(33.748783, -84.388168)",45.203370135336634 km
24,1010,239900.0,Columbia,"(34.178924, -80.774466)","(34.0007, -81.0348)",31.11353614685348 km
25,1007,417557.5,Atlanta,"(34.1673, -84.4314)","(33.748783, -84.388168)",46.5942491334108 km
26,1006,289240.0,Richmond,"(37.6092, -77.4621)","(37.54129, -77.434769)",7.914464970489038 km
27,1000,475990.0,Northern Virginia,"(38.959184, -77.332334)","(38.8051, -77.047)",30.092703428745136 km
28,1013,287900.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
29,1013,306900.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
30,1013,241900.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
31,1010,234400.0,Columbia,"(34.181446, -80.905019)","(34.0007, -81.0348)",23.354081952891427 km
32,1010,234400.0,Columbia,"(34.205036, -80.737904)","(34.0007, -81.0348)",35.55634784696825 km
33,1006,402240.0,Richmond,"(37.5132, -77.4161)","(37.54129, -77.434769)",3.5274479560127867 km
34,1013,240900.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
35,1006,288240.0,Richmond,"(37.6479, -77.4565)","(37.54129, -77.434769)",11.987143272525444 km
36,1004,447990.0,Raleigh,"(35.77399, -78.872688)","(35.884766, -78.625053)",25.529299335183694 km
37,1007,384900.0,Atlanta,"(34.11373, -84.530147)","(33.748783, -84.388168)",42.555626505873185 km
38,1013,289400.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
39,1013,259900.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
40,1010,228400.0,Columbia,"(34.130959, -80.816611)","(34.0007, -81.0348)",24.788272244756836 km
41,1004,580990.0,Raleigh,"(35.713269, -78.887334)","(35.884766, -78.625053)",30.3999243371661 km
42,1010,422900.0,Columbia,"(34.178023, -81.005597)","(34.0007, -81.0348)",19.853157097220127 km
43,1003,699200.0,Charlottesville,"(37.9996, -78.3869)","(38.033554, -78.50798)",11.280549410493409 km
44,1003,313500.0,Charlottesville,"(0.0, 0.0)","(38.033554, -78.50798)",9005.927584465539 km
45,1001,490490.0,Maryland,"(38.6317, -76.9751)","(52.2296756, -21.0122287)",4505.408944670754 km
46,1010,317900.0,Columbia,"(34.144558, -80.802329)","(34.0007, -81.0348)",26.741356115236144 km
47,1010,343900.0,Columbia,"(34.127698, -80.833394)","(34.0007, -81.0348)",23.326782457959638 km
48,1010,230400.0,Columbia,"(34.178924, -80.774466)","(34.0007, -81.0348)",31.11353614685348 km
49,1003,476750.0,Charlottesville,"(37.9995, -78.211)","(38.033554, -78.50798)",26.351125140953243 km
50,1010,244900.0,Columbia,"(34.178924, -80.774466)","(34.0007, -81.0348)",31.11353614685348 km
51,1004,520490.0,Raleigh,"(35.9740288, -78.9760817)","(35.884766, -78.625053)",33.190444875191545 km
52,1013,431000.0,Aiken/Augusta,"(33.678327, -81.966967)","(33.5076, -81.8604)",21.364188759675947 km
53,1004,574990.0,Raleigh,"(35.713269, -78.887334)","(35.884766, -78.625053)",30.3999243371661 km
54,1010,261900.0,Columbia,"(33.870033, -81.210458)","(34.0007, -81.0348)",21.767385710447932 km
55,1000,984490.0,Northern Virginia,"(38.874942, -77.514116)","(38.8051, -77.047)",41.28997397892732 km
56,1000,530990.0,Northern Virginia,"(38.959184, -77.332334)","(38.8051, -77.047)",30.092703428745136 km
57,1013,230400.0,Aiken/Augusta,"(33.593076, -81.824541)","(33.5076, -81.8604)",10.04839088810054 km
58,1011,408850.0,Charlotte,"(35.026513, -80.667104)","(35.227085, -80.843124)",27.432706025429354 km
59,1013,376900.0,Aiken/Augusta,"(33.678327, -81.966967)","(33.5076, -81.8604)",21.364188759675947 km
60,1001,378490.0,Maryland,"(38.993052, -76.823246)","(52.2296756, -21.0122287)",4470.213495949985 km
61,1000,816990.0,Northern Virginia,"(39.106722, -77.581028)","(38.8051, -77.047)",57.13070221588383 km
62,1000,834490.0,Northern Virginia,"(39.106722, -77.581028)","(38.8051, -77.047)",57.13070221588383 km
63,1001,557490.0,Maryland,"(38.6112, -77.0121)","(52.2296756, -21.0122287)",4509.347528247162 km
64,1011,388600.0,Charlotte,"(34.988974, -81.043826)","(35.227085, -80.843124)",32.13471757953517 km
65,1010,381900.0,Columbia,"(34.187516, -81.014363)","(34.0007, -81.0348)",20.808040527945 km
66,1010,406900.0,Columbia,"(34.178023, -81.005597)","(34.0007, -81.0348)",19.853157097220127 km
67,1010,215400.0,Columbia,"(33.952038, -80.931322)","(34.0007, -81.0348)",10.980674894252274 km
68,1010,268400.0,Columbia,"(34.117881, -80.80629)","(34.0007, -81.0348)",24.7790023328479 km
69,1000,532090.0,Northern Virginia,"(39.054844, -77.462364)","(38.8051, -77.047)",45.45209618827713 km
70,1001,632990.0,Maryland,"(39.0246, -76.7273)","(52.2296756, -21.0122287)",4461.51138300659 km
71,1011,404350.0,Charlotte,"(34.988974, -81.043826)","(35.227085, -80.843124)",32.13471757953517 km
72,1010,338900.0,Columbia,"(34.144558, -80.802329)","(34.0007, -81.0348)",26.741356115236144 km
73,1010,247900.0,Columbia,"(34.181955, -80.903033)","(34.0007, -81.0348)",23.49687851875138 km
74,1011,391438.5,Charlotte,"(35.023497, -80.863341)","(35.227085, -80.843124)",22.66168394191967 km
75,1010,293400.0,Columbia,"(34.120418, -80.806795)","(34.0007, -81.0348)",24.888064839212156 km
76,1010,373900.0,Columbia,"(34.127698, -80.833394)","(34.0007, -81.0348)",23.326782457959638 km
77,1010,442900.0,Columbia,"(34.136391, -80.82782)","(34.0007, -81.0348)",24.322785814008995 km
78,1000,464490.0,Northern Virginia,"(39.095541, -77.534782)","(38.8051, -77.047)",53.17491293639201 km
79,1001,494490.0,Maryland,"(39.1253, -77.1667)","(52.2296756, -21.0122287)",4484.581426903131 km
81,1010,237400.0,Columbia,"(33.870033, -81.210458)","(34.0007, -81.0348)",21.767385710447932 km
82,1010,297400.0,Columbia,"(33.870033, -81.210458)","(34.0007, -81.0348)",21.767385710447932 km
83,1013,296400.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
84,1013,249900.0,Aiken/Augusta,"(33.593076, -81.824541)","(33.5076, -81.8604)",10.04839088810054 km
85,1010,416900.0,Columbia,"(34.178023, -81.005597)","(34.0007, -81.0348)",19.853157097220127 km
86,1008,730900.0,Charleston,"(32.342205, -80.916079)","(32.776566, -79.930923)",104.30834355178328 km
87,1010,375900.0,Columbia,"(33.961442, -81.261359)","(34.0007, -81.0348)",21.3833267708572 km
88,1010,233400.0,Columbia,"(34.156478, -80.967833)","(34.0007, -81.0348)",18.35172442623197 km
89,1001,651990.0,Maryland,"(38.8208, -76.7835)","(52.2296756, -21.0122287)",4479.3191825925005 km
90,1012,456900.0,Greenville/Spartanburg,"(34.802831, -82.175333)","(34.8959, -82.2172)",11.011986650694153 km
91,1001,384990.0,Maryland,"(38.8917, -76.8407)","(52.2296756, -21.0122287)",4478.351576242803 km
92,1010,340400.0,Columbia,"(34.127698, -80.833394)","(34.0007, -81.0348)",23.326782457959638 km
93,1012,440900.0,Greenville/Spartanburg,"(34.802831, -82.175333)","(34.8959, -82.2172)",11.011986650694153 km
94,1000,472465.0,Northern Virginia,"(38.564368, -77.269246)","(38.8051, -77.047)",32.986131832406684 km
95,1003,444900.0,Charlottesville,"(0.0, 0.0)","(38.033554, -78.50798)",9005.927584465539 km
97,1003,802400.0,Charlottesville,"(37.9996, -78.3869)","(38.033554, -78.50798)",11.280549410493409 km
98,1011,506000.0,Charlotte,"(35.033053, -80.872506)","(35.227085, -80.843124)",21.692419569834193 km
99,1010,333900.0,Columbia,"(34.187516, -81.014363)","(34.0007, -81.0348)",20.808040527945 km
100,1010,332400.0,Columbia,"(34.144558, -80.802329)","(34.0007, -81.0348)",26.741356115236144 km
101,1007,344200.0,Atlanta,"(34.1, -84.582)","(33.748783, -84.388168)",42.88246359043638 km
102,1000,527990.0,Northern Virginia,"(38.959184, -77.332334)","(38.8051, -77.047)",30.092703428745136 km
103,1010,441400.0,Columbia,"(34.178023, -81.005597)","(34.0007, -81.0348)",19.853157097220127 km
104,1007,534900.0,Atlanta,"(34.11373, -84.530147)","(33.748783, -84.388168)",42.555626505873185 km
105,1011,353600.0,Charlotte,"(34.988974, -81.043826)","(35.227085, -80.843124)",32.13471757953517 km
106,1003,753400.0,Charlottesville,"(37.9996, -78.3869)","(38.033554, -78.50798)",11.280549410493409 km
107,1010,249400.0,Columbia,"(34.120418, -80.806795)","(34.0007, -81.0348)",24.888064839212156 km
108,1010,271400.0,Columbia,"(34.120418, -80.806795)","(34.0007, -81.0348)",24.888064839212156 km
109,1001,542990.0,Maryland,"(38.6112, -77.0121)","(52.2296756, -21.0122287)",4509.347528247162 km
110,1010,275900.0,Columbia,"(33.870033, -81.210458)","(34.0007, -81.0348)",21.767385710447932 km
111,1004,558990.0,Raleigh,"(35.713269, -78.887334)","(35.884766, -78.625053)",30.3999243371661 km
112,1013,233400.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
113,1004,596990.0,Raleigh,"(35.713269, -78.887334)","(35.884766, -78.625053)",30.3999243371661 km
114,1000,1015490.0,Northern Virginia,"(38.874942, -77.514116)","(38.8051, -77.047)",41.28997397892732 km
115,1013,298900.0,Aiken/Augusta,"(33.593076, -81.824541)","(33.5076, -81.8604)",10.04839088810054 km
116,1010,237900.0,Columbia,"(33.917912, -81.328175)","(34.0007, -81.0348)",28.62901156133804 km
117,1010,460900.0,Columbia,"(34.136391, -80.82782)","(34.0007, -81.0348)",24.322785814008995 km
118,1007,603005.0,Atlanta,"(34.120041, -84.274648)","(33.748783, -84.388168)",42.496825738063414 km
119,1001,652990.0,Maryland,"(38.8208, -76.7835)","(52.2296756, -21.0122287)",4479.3191825925005 km
120,1001,663490.0,Maryland,"(39.0246, -76.7273)","(52.2296756, -21.0122287)",4461.51138300659 km
121,1011,360300.0,Charlotte,"(34.988974, -81.043826)","(35.227085, -80.843124)",32.13471757953517 km
122,1010,345400.0,Columbia,"(33.913455, -81.290165)","(34.0007, -81.0348)",25.510494763814688 km
123,1010,266400.0,Columbia,"(33.995136, -81.340495)","(34.0007, -81.0348)",28.248988343205895 km
124,1014,364000.0,Wilmington,"(33.977969, -78.238492)","(39.739071, -75.539787)",683.0356957954995 km
125,1001,641490.0,Maryland,"(38.8208, -76.7835)","(52.2296756, -21.0122287)",4479.3191825925005 km
126,1001,467990.0,Maryland,"(38.957975, -76.969203)","(52.2296756, -21.0122287)",4482.568916468948 km
127,1000,640990.0,Northern Virginia,"(38.4305, -77.4289)","(38.8051, -77.047)",53.2485419990901 km
128,1010,247400.0,Columbia,"(33.917912, -81.328175)","(34.0007, -81.0348)",28.62901156133804 km
129,1000,853990.0,Northern Virginia,"(39.106722, -77.581028)","(38.8051, -77.047)",57.13070221588383 km
130,1010,273900.0,Columbia,"(34.205036, -80.737904)","(34.0007, -81.0348)",35.55634784696825 km
131,1000,603990.0,Northern Virginia,"(38.907639, -77.497972)","(38.8051, -77.047)",40.7663819481183 km
132,1004,424990.0,Raleigh,"(35.704113, -78.887913)","(35.884766, -78.625053)",31.086945936632706 km
133,1012,392400.0,Greenville/Spartanburg,"(34.775746, -82.541708)","(34.8959, -82.2172)",32.53835331220801 km
134,1006,318490.0,Richmond,"(37.6479, -77.4565)","(37.54129, -77.434769)",11.987143272525444 km
135,1010,244400.0,Columbia,"(34.178924, -80.774466)","(34.0007, -81.0348)",31.11353614685348 km
136,1008,690900.0,Charleston,"(32.342205, -80.916079)","(32.776566, -79.930923)",104.30834355178328 km
137,1012,480400.0,Greenville/Spartanburg,"(34.802831, -82.175333)","(34.8959, -82.2172)",11.011986650694153 km
138,1001,699990.0,Maryland,"(39.0246, -76.7273)","(52.2296756, -21.0122287)",4461.51138300659 km
139,1008,344400.0,Charleston,"(32.8750827, -79.9935297)","(32.776566, -79.930923)",12.399019027440323 km
140,1010,271900.0,Columbia,"(34.156478, -80.967833)","(34.0007, -81.0348)",18.35172442623197 km
141,1004,521990.0,Raleigh,"(35.6782, -78.8709)","(35.884766, -78.625053)",31.927463117192413 km
142,1010,264900.0,Columbia,"(33.952038, -80.931322)","(34.0007, -81.0348)",10.980674894252274 km
143,1010,332900.0,Columbia,"(34.144558, -80.802329)","(34.0007, -81.0348)",26.741356115236144 km
144,1004,502490.0,Raleigh,"(35.9740288, -78.9760817)","(35.884766, -78.625053)",33.190444875191545 km
145,1011,333500.0,Charlotte,"(34.988974, -81.043826)","(35.227085, -80.843124)",32.13471757953517 km
146,1010,248400.0,Columbia,"(33.995136, -81.340495)","(34.0007, -81.0348)",28.248988343205895 km
147,1001,699490.0,Maryland,"(39.1253, -77.1667)","(52.2296756, -21.0122287)",4484.581426903131 km
148,1013,302900.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
149,1006,341240.0,Richmond,"(37.540469, -77.567765)","(37.54129, -77.434769)",11.754168364264038 km
150,1013,254900.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
151,1004,425990.0,Raleigh,"(35.77399, -78.872688)","(35.884766, -78.625053)",25.529299335183694 km
152,1013,394650.0,Aiken/Augusta,"(33.678327, -81.966967)","(33.5076, -81.8604)",21.364188759675947 km
153,1000,553990.0,Northern Virginia,"(39.095541, -77.534782)","(38.8051, -77.047)",53.17491293639201 km
154,1003,485200.0,Charlottesville,"(0.0, 0.0)","(38.033554, -78.50798)",9005.927584465539 km
155,1003,427300.0,Charlottesville,"(37.9871831, -78.5074706)","(38.033554, -78.50798)",5.147210024907886 km
156,1013,296400.0,Aiken/Augusta,"(33.593076, -81.824541)","(33.5076, -81.8604)",10.04839088810054 km
157,1000,540990.0,Northern Virginia,"(38.959184, -77.332334)","(38.8051, -77.047)",30.092703428745136 km
158,1013,251900.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
159,1006,298890.0,Richmond,"(37.540469, -77.567765)","(37.54129, -77.434769)",11.754168364264038 km
160,1007,382512.5,Atlanta,"(34.1673, -84.4314)","(33.748783, -84.388168)",46.5942491334108 km
161,1013,239900.0,Aiken/Augusta,"(33.593076, -81.824541)","(33.5076, -81.8604)",10.04839088810054 km
162,1013,310400.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
163,1010,227400.0,Columbia,"(33.98179, -80.881181)","(34.0007, -81.0348)",14.347664510850057 km
164,1008,980900.0,Charleston,"(32.900786, -79.74952)","(32.776566, -79.930923)",21.86828205541061 km
165,1011,392900.0,Charlotte,"(35.026513, -80.667104)","(35.227085, -80.843124)",27.432706025429354 km
166,1007,372400.0,Atlanta,"(34.168071, -84.431162)","(33.748783, -84.388168)",46.6775786104929 km
167,1013,231400.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
168,1013,317400.0,Aiken/Augusta,"(33.678327, -81.966967)","(33.5076, -81.8604)",21.364188759675947 km
169,1010,282900.0,Columbia,"(33.870033, -81.210458)","(34.0007, -81.0348)",21.767385710447932 km
170,1006,487190.0,Richmond,"(37.5132, -77.4161)","(37.54129, -77.434769)",3.5274479560127867 km
171,1006,339715.0,Richmond,"(37.540469, -77.567765)","(37.54129, -77.434769)",11.754168364264038 km
172,1010,244900.0,Columbia,"(34.130959, -80.816611)","(34.0007, -81.0348)",24.788272244756836 km
173,1006,343990.0,Richmond,"(37.6213042, -77.5201677)","(37.54129, -77.434769)",11.6518813346041 km
174,1010,261900.0,Columbia,"(34.004661, -81.239475)","(34.0007, -81.0348)",18.913362959850023 km
175,1012,266900.0,Greenville/Spartanburg,"(34.725073, -82.222818)","(34.8959, -82.2172)",18.95802368359314 km
176,1004,425990.0,Raleigh,"(35.714323, -78.886046)","(35.884766, -78.625053)",30.235811715430245 km
177,1003,243750.0,Charlottesville,"(37.9871831, -78.5074706)","(38.033554, -78.50798)",5.147210024907886 km
178,1012,309400.0,Greenville/Spartanburg,"(34.901119, -82.081609)","(34.8959, -82.2172)",12.406634434716617 km
179,1003,349990.0,Charlottesville,"(38.1014224, -78.4591042)","(38.033554, -78.50798)",8.668606830698964 km
180,1010,376900.0,Columbia,"(33.905958, -81.165443)","(34.0007, -81.0348)",16.008366649698054 km
181,1003,509290.0,Charlottesville,"(37.9995, -78.211)","(38.033554, -78.50798)",26.351125140953243 km
182,1001,539990.0,Maryland,"(38.6317, -76.9751)","(52.2296756, -21.0122287)",4505.408944670754 km
183,1010,282900.0,Columbia,"(34.156478, -80.967833)","(34.0007, -81.0348)",18.35172442623197 km
184,1007,429900.0,Atlanta,"(34.168071, -84.431162)","(33.748783, -84.388168)",46.6775786104929 km
185,1008,687900.0,Charleston,"(32.342205, -80.916079)","(32.776566, -79.930923)",104.30834355178328 km
186,1010,350900.0,Columbia,"(34.127698, -80.833394)","(34.0007, -81.0348)",23.326782457959638 km
187,1008,329900.0,Charleston,"(32.874351, -79.99518)","(32.776566, -79.930923)",12.401815765329939 km
188,1012,455900.0,Greenville/Spartanburg,"(34.802831, -82.175333)","(34.8959, -82.2172)",11.011986650694153 km
189,1010,254900.0,Columbia,"(33.913455, -81.290165)","(34.0007, -81.0348)",25.510494763814688 km
190,1011,350000.0,Charlotte,"(35.023497, -80.863341)","(35.227085, -80.843124)",22.66168394191967 km
191,1010,241400.0,Columbia,"(34.156478, -80.967833)","(34.0007, -81.0348)",18.35172442623197 km
192,1010,258900.0,Columbia,"(33.913455, -81.290165)","(34.0007, -81.0348)",25.510494763814688 km
193,1003,716700.0,Charlottesville,"(37.9996, -78.3869)","(38.033554, -78.50798)",11.280549410493409 km
194,1003,524200.0,Charlottesville,"(37.9995, -78.211)","(38.033554, -78.50798)",26.351125140953243 km
195,1010,397400.0,Columbia,"(33.961442, -81.261359)","(34.0007, -81.0348)",21.3833267708572 km
196,1011,477000.0,Charlotte,"(35.033053, -80.872506)","(35.227085, -80.843124)",21.692419569834193 km
197,1008,299900.0,Charleston,"(32.874351, -79.99518)","(32.776566, -79.930923)",12.401815765329939 km
198,1010,380900.0,Columbia,"(33.961442, -81.261359)","(34.0007, -81.0348)",21.3833267708572 km
199,1013,274900.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
200,1012,345400.0,Greenville/Spartanburg,"(34.775746, -82.541708)","(34.8959, -82.2172)",32.53835331220801 km
201,1012,370900.0,Greenville/Spartanburg,"(34.775746, -82.541708)","(34.8959, -82.2172)",32.53835331220801 km
202,1007,417900.0,Atlanta,"(34.1673, -84.4314)","(33.748783, -84.388168)",46.5942491334108 km
203,1004,514990.0,Raleigh,"(35.7945, -78.9401)","(35.884766, -78.625053)",30.17389469080778 km
204,1011,407892.0,Charlotte,"(35.026513, -80.667104)","(35.227085, -80.843124)",27.432706025429354 km
205,1010,424400.0,Columbia,"(34.136391, -80.82782)","(34.0007, -81.0348)",24.322785814008995 km
206,1010,356900.0,Columbia,"(33.961442, -81.261359)","(34.0007, -81.0348)",21.3833267708572 km
207,1010,257400.0,Columbia,"(34.120418, -80.806795)","(34.0007, -81.0348)",24.888064839212156 km
